evaluation,failure_prevented,n_maintenance_activities,id
62.4381,False,0,FD004_1_0
60.9515,False,0,FD004_2_0
96.1038,True,6,FD004_3_0
93.2959,True,9,FD004_4_0
95.8903,True,5,FD004_5_0
99.2556,True,2,FD004_6_0
92.4048,True,9,FD004_7_0
98.1366,True,3,FD004_8_0
99.2611,True,2,FD004_9_0
99.2874,True,2,FD004_10_0
99.2084,True,2,FD004_11_0
100.0,True,1,FD004_12_0
100.0,True,1,FD004_13_0
100.0,True,1,FD004_14_0
97.1786,True,4,FD004_15_0
100.0,True,1,FD004_16_0
100.0,True,1,FD004_17_0
98.5437,True,3,FD004_18_0
97.0683,True,4,FD004_19_0
96.4071,True,5,FD004_20_0
100.0,True,1,FD004_21_0
95.1138,True,6,FD004_22_0
98.3516,True,3,FD004_23_0
100.0,True,1,FD004_24_0
97.6833,True,3,FD004_25_0
96.0105,True,6,FD004_26_0
96.6417,True,4,FD004_27_0
100.0,True,1,FD004_28_0
94.6586,True,7,FD004_29_0
96.0105,True,6,FD004_30_0
95.7019,True,6,FD004_31_0
99.0415,True,2,FD004_32_0
100.0,True,1,FD004_33_0
98.324,True,3,FD004_34_0
99.0506,True,2,FD004_35_0
98.8142,True,2,FD004_36_0
99.3303,True,2,FD004_37_0
98.9285,True,2,FD004_38_0
100.0,True,1,FD004_39_0
99.0131,True,2,FD004_40_0
97.5069,True,4,FD004_41_0
99.1758,True,2,FD004_42_0
99.0506,True,2,FD004_43_0
100.0,True,1,FD004_44_0
98.9285,True,2,FD004_45_0
99.2386,True,2,FD004_46_0
100.0,True,1,FD004_47_0
100.0,True,1,FD004_48_0
96.9757,True,6,FD004_49_0
98.9169,True,2,FD004_50_0
98.3651,True,3,FD004_51_0
98.5849,True,3,FD004_52_0
100.0,True,1,FD004_53_0
100.0,True,1,FD004_54_0
97.8313,True,4,FD004_55_0
64.3389,False,0,FD004_56_0
100.0,True,1,FD004_57_0
100.0,True,1,FD004_58_0
100.0,True,1,FD004_59_0
96.166,True,5,FD004_60_0
95.5088,True,6,FD004_61_0
96.8084,True,5,FD004_62_0
98.9051,True,2,FD004_63_0
100.0,True,1,FD004_64_0
93.5405,True,10,FD004_65_0
45.0016,False,2,FD004_66_0
100.0,True,1,FD004_67_0
97.7611,True,3,FD004_68_0
100.0,True,1,FD004_69_0
100.0,True,1,FD004_70_0
97.6804,True,4,FD004_71_0
97.6623,True,4,FD004_72_0
95.7596,True,5,FD004_73_0
100.0,True,1,FD004_74_0
98.1366,True,3,FD004_75_0
100.0,True,1,FD004_76_0
100.0,True,1,FD004_77_0
100.0,True,1,FD004_78_0
100.0,True,1,FD004_79_0
99.2146,True,2,FD004_80_0
98.9619,True,2,FD004_81_0
96.949,True,4,FD004_82_0
98.951,True,2,FD004_83_0
100.0,True,1,FD004_84_0
95.8448,True,6,FD004_85_0
98.1538,True,3,FD004_86_0
98.2658,True,3,FD004_87_0
98.6607,True,3,FD004_88_0
100.0,True,1,FD004_89_0
98.0455,True,3,FD004_90_0
97.8622,True,4,FD004_91_0
48.2893,False,1,FD004_92_0
96.949,True,4,FD004_93_0
99.1098,True,2,FD004_94_0
100.0,True,1,FD004_95_0
99.1549,True,2,FD004_96_0
98.2808,True,3,FD004_97_0
94.6106,True,7,FD004_98_0
98.8929,True,2,FD004_99_0
98.2658,True,3,FD004_100_0
98.2658,True,3,FD004_101_0
96.949,True,4,FD004_102_0
96.2381,True,5,FD004_103_0
100.0,True,1,FD004_104_0
100.0,True,1,FD004_105_0
99.1477,True,2,FD004_106_0
98.951,True,2,FD004_107_0
97.6439,True,4,FD004_108_0
100.0,True,1,FD004_109_0
100.0,True,1,FD004_110_0
99.2021,True,2,FD004_111_0
97.8155,True,4,FD004_112_0
98.951,True,2,FD004_113_0
100.0,True,1,FD004_114_0
100.0,True,1,FD004_115_0
99.2771,True,2,FD004_116_0
97.8155,True,4,FD004_117_0
96.8641,True,7,FD004_118_0
96.8857,True,4,FD004_119_0
98.9285,True,2,FD004_120_0
97.966,True,3,FD004_121_0
98.9169,True,2,FD004_122_0
96.2381,True,5,FD004_123_0
98.9051,True,2,FD004_124_0
100.0,True,1,FD004_125_0
99.2084,True,2,FD004_126_0
100.0,True,1,FD004_127_0
99.1098,True,2,FD004_128_0
98.9726,True,2,FD004_129_0
100.0,True,1,FD004_130_0
98.6238,True,3,FD004_131_0
100.0,True,1,FD004_132_0
97.7315,True,5,FD004_133_0
100.0,True,1,FD004_134_0
96.525,True,4,FD004_135_0
100.0,True,1,FD004_136_0
99.0595,True,2,FD004_137_0
97.8571,True,3,FD004_138_0
98.2352,True,3,FD004_139_0
94.4147,True,8,FD004_140_0
93.9595,True,7,FD004_141_0
100.0,True,1,FD004_142_0
100.0,True,1,FD004_143_0
99.2021,True,2,FD004_144_0
98.1366,True,3,FD004_145_0
98.4293,True,3,FD004_146_0
96.3076,True,5,FD004_147_0
100.0,True,1,FD004_148_0
100.0,True,1,FD004_149_0
98.8417,True,2,FD004_150_0
99.2823,True,2,FD004_151_0
96.5615,True,5,FD004_152_0
